InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536364,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17852,Spain
536363,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17853,Germany
,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17853,Portugal
536362,,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17853,Portugal
536362,4567,WHITE METAL LANTERN,,12/1/2010 8:26,3.39,17853,Portugal
536362,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,,Portugal
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,17850,United Kingdom
C580131,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,12/1/2011 18:12,7.95,17576,United Kingdom
C580131,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,-18,12/1/2011 18:12,2.1,17576,United Kingdom
C580131,85034C,3 ROSE MORRIS BOXED CANDLES,-12,12/1/2011 18:12,4.25,17576,United Kingdom
580132,22423,REGENCY CAKESTAND 3 TIER,16,12/1/2011 18:16,10.95,15694,United Kingdom
580132,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2011 18:16,3.75,15694,United Kingdom
580132,82494L,WOODEN FRAME ANTIQUE WHITE ,12,12/1/2011 18:16,2.95,15694,United Kingdom
580132,82482,WOODEN PICTURE FRAME WHITE FINISH,12,12/1/2011 18:16,2.95,15694,United Kingdom
580132,23084,RABBIT NIGHT LIGHT,72,12/1/2011 18:16,1.79,15694,United Kingdom
580132,22727,ALARM CLOCK BAKELIKE RED ,12,12/1/2011 18:16,3.75,15694,United Kingdom
580133,23558,LANDMARK FRAME LONDON BRIDGE ,1,12/1/2011 18:43,12.5,15531,United Kingdom
580133,23539,WALL ART LOVES' SECRET ,2,12/1/2011 18:43,5.95,15531,United Kingdom
580133,23531,WALL ART BIG LOVE ,1,12/1/2011 18:43,6.95,15531,United Kingdom
580133,16169E,WRAP 50'S  CHRISTMAS,25,12/1/2011 18:43,0.42,15531,United Kingdom
580133,21843,RED RETROSPOT CAKE STAND,5,12/1/2011 18:43,10.95,15531,United Kingdom
580133,23247,BISCUIT TIN 50'S CHRISTMAS,2,12/1/2011 18:43,2.89,15531,United Kingdom
580133,23234,BISCUIT TIN VINTAGE CHRISTMAS,2,12/1/2011 18:43,2.89,15531,United Kingdom
580133,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5,12/1/2011 18:43,2.95,15531,United Kingdom
580133,23598,PAPER BUNTING VINTAGE PARTY,6,12/1/2011 18:43,2.95,15531,United Kingdom
580133,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,6,12/1/2011 18:43,0.83,15531,United Kingdom
580133,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,14,12/1/2011 18:43,2.95,15531,United Kingdom
580133,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,8,12/1/2011 18:43,2.95,15531,United Kingdom
580133,22083,PAPER CHAIN KIT RETROSPOT,6,12/1/2011 18:43,2.95,15531,United Kingdom
580133,22911,PAPER CHAIN KIT LONDON,3,12/1/2011 18:43,2.95,15531,United Kingdom
580133,22732,3D VINTAGE CHRISTMAS STICKERS ,5,12/1/2011 18:43,1.25,15531,United Kingdom
580133,22144,CHRISTMAS CRAFT LITTLE FRIENDS,3,12/1/2011 18:43,2.1,15531,United Kingdom
580133,20676,RED RETROSPOT BOWL,12,12/1/2011 18:43,1.25,15531,United Kingdom
580133,23570,TRADITIONAL PICK UP STICKS GAME ,3,12/1/2011 18:43,1.25,15531,United Kingdom
580133,23569,TRADTIONAL ALPHABET STAMP SET,3,12/1/2011 18:43,4.95,15531,United Kingdom
580133,84596F,SMALL MARSHMALLOWS PINK BOWL,8,12/1/2011 18:43,0.42,15531,United Kingdom
580133,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,8,12/1/2011 18:43,0.42,15531,United Kingdom
580133,21790,VINTAGE SNAP CARDS,3,12/1/2011 18:43,0.85,15531,United Kingdom
580133,47559B,TEA TIME OVEN GLOVE,6,12/1/2011 18:43,1.25,15531,United Kingdom
580133,23497,CLASSIC CHROME BICYCLE BELL ,3,12/1/2011 18:43,1.45,15531,United Kingdom
580133,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,12/1/2011 18:43,0.65,15531,United Kingdom
580133,47567B,TEA TIME KITCHEN APRON,4,12/1/2011 18:43,5.95,15531,United Kingdom
580133,22727,ALARM CLOCK BAKELIKE RED ,3,12/1/2011 18:43,3.75,15531,United Kingdom
580133,22726,ALARM CLOCK BAKELIKE GREEN,3,12/1/2011 18:43,3.75,15531,United Kingdom
580133,22730,ALARM CLOCK BAKELIKE IVORY,3,12/1/2011 18:43,3.75,15531,United Kingdom
580133,22728,ALARM CLOCK BAKELIKE PINK,3,12/1/2011 18:43,3.75,15531,United Kingdom
580133,21873,IF YOU CAN'T STAND THE HEAT MUG,6,12/1/2011 18:43,1.25,15531,United Kingdom
580133,21875,KINGS CHOICE MUG,6,12/1/2011 18:43,1.25,15531,United Kingdom
580133,21876,POTTERING MUG,6,12/1/2011 18:43,1.65,15531,United Kingdom
580133,21872,GLAMOROUS  MUG,6,12/1/2011 18:43,1.25,15531,United Kingdom
580133,20992,JAZZ HEARTS PURSE NOTEBOOK,24,12/1/2011 18:43,0.39,15531,United Kingdom
580133,22721,SET OF 3 CAKE TINS SKETCHBOOK,8,12/1/2011 18:43,4.95,15531,United Kingdom
580133,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,5,12/1/2011 18:43,2.1,15531,United Kingdom
580133,20996,JAZZ HEARTS ADDRESS BOOK,24,12/1/2011 18:43,0.19,15531,United Kingdom
580133,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,12/1/2011 18:43,0.65,15531,United Kingdom
580134,23428,IVORY RETRO KITCHEN WALL CLOCK,4,12/1/2011 19:24,8.15,13102,United Kingdom
580134,23429,RED RETRO KITCHEN WALL CLOCK,2,12/1/2011 19:24,8.15,13102,United Kingdom
580134,23580,SNACK TRAY HAPPY FOREST  ,8,12/1/2011 19:24,1.95,13102,United Kingdom
580134,23042,PAPER LANTERN 7 POINT SNOW STAR,4,12/1/2011 19:24,6.65,13102,United Kingdom
580134,21194,PINK  HONEYCOMB PAPER FAN,12,12/1/2011 19:24,0.65,13102,United Kingdom
580134,21208,PASTEL COLOUR HONEYCOMB FAN,12,12/1/2011 19:24,0.39,13102,United Kingdom
580134,20668,DISCO BALL CHRISTMAS DECORATION,24,12/1/2011 19:24,0.12,13102,United Kingdom
580134,23100,SILVER BELLS TABLE DECORATION,12,12/1/2011 19:24,1.25,13102,United Kingdom
