InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
580128,23321,SMALL WHITE HEART OF WICKER,3,12/1/2011 17:56,1.65,17576,United Kingdom
580128,23453,OVAL  MINI PORTRAIT FRAME,4,12/1/2011 17:56,1.95,17576,United Kingdom
580128,23198,PANTRY MAGNETIC  SHOPPING LIST,1,12/1/2011 17:56,1.45,17576,United Kingdom
580128,23499,SET 12 VINTAGE DOILY CHALK ,1,12/1/2011 17:56,0.42,17576,United Kingdom
580128,23552,BICYCLE PUNCTURE REPAIR KIT ,2,12/1/2011 17:56,2.08,17576,United Kingdom
580128,23497,CLASSIC CHROME BICYCLE BELL ,3,12/1/2011 17:56,1.45,17576,United Kingdom
580128,22952,60 CAKE CASES VINTAGE CHRISTMAS,3,12/1/2011 17:56,0.55,17576,United Kingdom
580128,23552,BICYCLE PUNCTURE REPAIR KIT ,1,12/1/2011 17:56,2.08,17576,United Kingdom
580128,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,12/1/2011 17:56,2.1,17576,United Kingdom
580128,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,12/1/2011 17:56,2.1,17576,United Kingdom
580128,22952,60 CAKE CASES VINTAGE CHRISTMAS,4,12/1/2011 17:56,0.55,17576,United Kingdom
580128,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/1/2011 17:56,2.95,17576,United Kingdom
580128,23322,LARGE WHITE HEART OF WICKER,3,12/1/2011 17:56,2.95,17576,United Kingdom
580128,22470,HEART OF WICKER LARGE,2,12/1/2011 17:56,2.95,17576,United Kingdom
580128,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,12/1/2011 17:56,7.95,17576,United Kingdom
580128,21843,RED RETROSPOT CAKE STAND,2,12/1/2011 17:56,10.95,17576,United Kingdom
580128,22627,MINT KITCHEN SCALES,1,12/1/2011 17:56,8.5,17576,United Kingdom
580128,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,12/1/2011 17:56,2.1,17576,United Kingdom
580128,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,4,12/1/2011 17:56,4.95,17576,United Kingdom
580128,22907,PACK OF 20 NAPKINS PANTRY DESIGN,4,12/1/2011 17:56,0.85,17576,United Kingdom
580128,21181,PLEASE ONE PERSON METAL SIGN,6,12/1/2011 17:56,2.1,17576,United Kingdom
580128,23407,SET OF 2 TRAYS HOME SWEET HOME,2,12/1/2011 17:56,9.95,17576,United Kingdom
580128,23489,VINTAGE BELLS GARLAND,2,12/1/2011 17:56,2.89,17576,United Kingdom
580128,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2,12/1/2011 17:56,3.75,17576,United Kingdom
580128,20969,RED FLORAL FELTCRAFT SHOULDER BAG,2,12/1/2011 17:56,3.75,17576,United Kingdom
580128,23104,IVORY CAFE HANGING LAMP ,1,12/1/2011 17:56,12.5,17576,United Kingdom
580128,21916,SET 12 RETRO WHITE CHALK STICKS,6,12/1/2011 17:56,0.42,17576,United Kingdom
580128,21918,SET 12 KIDS COLOUR  CHALK STICKS,2,12/1/2011 17:56,0.42,17576,United Kingdom
580128,84949,SILVER HANGING T-LIGHT HOLDER,6,12/1/2011 17:56,1.65,17576,United Kingdom
580128,23453,OVAL  MINI PORTRAIT FRAME,4,12/1/2011 17:56,1.95,17576,United Kingdom
580128,22423,REGENCY CAKESTAND 3 TIER,1,12/1/2011 17:56,12.75,17576,United Kingdom
580128,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,12/1/2011 17:56,1.65,17576,United Kingdom
580128,23301,GARDENERS KNEELING PAD KEEP CALM ,3,12/1/2011 17:56,1.65,17576,United Kingdom
580128,23499,SET 12 VINTAGE DOILY CHALK ,5,12/1/2011 17:56,0.42,17576,United Kingdom
580128,84987,SET OF 36 TEATIME PAPER DOILIES,3,12/1/2011 17:56,1.45,17576,United Kingdom
580128,23452,HEART MINI PORTRAIT FRAME,6,12/1/2011 17:56,1.95,17576,United Kingdom
580128,23061,VINTAGE EMBOSSED HEART,6,12/1/2011 17:56,1.25,17576,United Kingdom
580128,23096,PETIT TRAY CHIC,4,12/1/2011 17:56,1.65,17576,United Kingdom
580128,23451,SQUARE MINI PORTRAIT FRAME,6,12/1/2011 17:56,1.95,17576,United Kingdom
580128,23198,PANTRY MAGNETIC  SHOPPING LIST,1,12/1/2011 17:56,1.45,17576,United Kingdom
580128,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,2,12/1/2011 17:56,1.45,17576,United Kingdom
580128,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,12/1/2011 17:56,8.5,17576,United Kingdom
580128,85034C,3 ROSE MORRIS BOXED CANDLES,12,12/1/2011 17:56,4.25,17576,United Kingdom
580129,23367,SET 12 COLOUR PENCILS SPACEBOY ,24,12/1/2011 18:03,0.65,17426,United Kingdom
580129,21232,STRAWBERRY CERAMIC TRINKET POT,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,21231,SWEETHEART CERAMIC TRINKET BOX,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,22663,JUMBO BAG DOLLY GIRL DESIGN,10,12/1/2011 18:03,2.08,17426,United Kingdom
580129,23310,BUBBLEGUM RING ASSORTED,36,12/1/2011 18:03,0.42,17426,United Kingdom
580129,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,12/1/2011 18:03,4.15,17426,United Kingdom
580129,84997C,CHILDRENS CUTLERY POLKADOT BLUE,4,12/1/2011 18:03,4.15,17426,United Kingdom
580129,22619,SET OF 6 SOLDIER SKITTLES,4,12/1/2011 18:03,3.75,17426,United Kingdom
580129,22564,ALPHABET STENCIL CRAFT,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,22563,HAPPY STENCIL CRAFT,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,22562,MONSTERS STENCIL CRAFT,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,20973,12 PENCIL SMALL TUBE WOODLAND,24,12/1/2011 18:03,0.65,17426,United Kingdom
